OPDMS_EID,PSSE_BUS_NUMBER,PSSE_BUS_NAME,EMS_REGION_ID,EMS_STN_ID,EMS_ID,EMS_STN_DESC,BASKV,BUS_TYPE_IDE,AREA,ZONE
3968597,443589,4STRATH___S1,QLD,H35_STHM,SVC,STRATHMORE 275KV,275,2,4,98
3968546,443601,4BLKWAL___S1,QLD,H36_BLKW,SVC,H36 BLACKWALL 275KV,275,2,4,98
207085,443680,4BLKWAL_275A,QLD,H36_BLKW,1,H36 BLACKWALL 275KV,275,1,4,98
3923722,443830,4GOODNA__33A,QLD,H38_GDNA,1T4,GOODNA 275KV,33,1,4,98
3923719,443831,4GOODNA__33B,QLD,H38_GDNA,1T5,GOODNA 275KV,33,1,4,98
3923715,443832,4GOODNA__33C,QLD,H38_GDNA,132,GOODNA 275KV,33,1,4,98
3923528,443840,4GOODNA_110A,QLD,H38_GDNA,8,GOODNA 275KV,110,1,4,98
3923521,443880,4GOODNA_275A,QLD,H38_GDNA,1,GOODNA 275KV,275,1,4,98
3493129,443940,4_WOREE_132A,QLD,H39_WORE,26,WOREE 275KV,132,1,4,98
3968605,443941,4_WOREE_132B,QLD,H39_WORE,SVC,WOREE 275KV,132,2,4,98
1792841,443983,4_WOREE_275D,QLD,H39_WORE,14,WOREE 275KV,275,1,4,98
4977369,443987,4_WOREE_275H,QLD,H39_WORE,902Z,WOREE 275KV,275,1,4,98
4976921,443989,4_WOREE_275J,QLD,H39_WORE,8902,WOREE 275KV,275,1,4,98
206697,444080,4WURDNG_275A,QLD,H40_WURD,3,WURDONG 275KV,275,1,4,98
206963,444120,4STWLAX___6A,QLD,T104_STN,4,STANWELL PS AUX,6.6,1,4,98
206962,444140,4STWLAX_132A,QLD,T104_STN,1,STANWELL PS AUX,132,1,4,98
206723,444205,4STWLPS__20A,QLD,STAN_PS,15,STANWELL PS AUX,20,2,4,98
206725,444206,4STWLPS__20B,QLD,STAN_PS,12,STANWELL PS AUX,20,2,4,98
206724,444207,4STWLPS__20C,QLD,STAN_PS,2,STANWELL PS AUX,20,2,4,98
206726,444208,4STWLPS__20D,QLD,STAN_PS,5,STANWELL PS AUX,20,1,4,98
206716,444280,4STWLPS_275A,QLD,STAN_PS,18,STANWELL PS AUX,275,1,4,98
206717,444281,4STWLPS_275B,QLD,STAN_PS,20,STANWELL PS AUX,275,1,4,98
206718,444282,4STWLPS_275C,QLD,STAN_PS,19,STANWELL PS AUX,275,1,4,98
206715,444283,4STWLPS_275D,QLD,STAN_PS,17,STANWELL PS AUX,275,1,4,98
3824549,444720,4BRAEPS__15A,QLD,BRAE_PS,4,BRAEMAR PS,15.75,2,4,98
